,score,logfoldchanges,pvals,pvals_adj
Ifitm3,15.42737102508545,5.9877400398254395,8.986661416209357e-42,5.943777860680869e-38
Rpl13a,13.932536125183105,1.9702849388122559,3.063525562425864e-38,1.0131079034942333e-34
Cfl1,12.773149490356445,1.4890156984329224,1.4842024341220733e-33,3.2721716330944644e-30
Rpsa,12.137197494506836,1.725354552268982,7.990116759768663e-31,1.3211658062277484e-27
H2-D1,11.92648983001709,1.3560662269592285,5.84536271134144e-30,8.921822070648989e-27
Rtp4,11.39257526397705,4.354285717010498,2.2466598516562132e-26,2.228911238828129e-23
Tagln2,11.364188194274902,3.0956509113311768,7.419863209974762e-27,8.660289753665837e-24
Ifit3,11.353368759155273,7.796624183654785,1.1098669903497804e-25,9.574774270661018e-23
Rplp0,11.351024627685547,1.443206548690796,1.6822627038424695e-27,2.0862160356026425e-24
Bst2,11.308570861816406,2.49880313873291,1.0637973778791076e-26,1.1726593095487363e-23
Ptma,11.235567092895508,2.0398008823394775,1.40959370976558e-26,1.472060967850981e-23
Usp18,11.040552139282227,5.4885125160217285,9.438746918558116e-25,7.20321601377039e-22
H2-K1,10.993191719055176,1.444697380065918,4.9966614960241854e-26,4.721131304957709e-23
Oasl2,10.779934883117676,6.727977752685547,1.0364633694141407e-23,7.091553853763925e-21
Lgals3bp,10.540149688720703,2.0089666843414307,5.607329397994325e-24,3.9735939255358356e-21
Rpl13,10.514999389648438,1.4274348020553589,5.585251580386468e-24,3.9735939255358356e-21
Spint2,10.262190818786621,7.475309371948242,8.28544408881947e-22,4.566660600287664e-19
Rps5,10.19688892364502,1.5709965229034424,8.230155766488333e-23,5.267830668343919e-20
Rps7,10.160853385925293,1.6916953325271606,1.5687122363442554e-22,9.726996310482098e-20
B2m,10.005162239074707,1.0595062971115112,5.065162266010187e-22,2.955969108299239e-19
Tspo,9.979394912719727,2.2137303352355957,7.312764292687797e-22,4.1457105455860363e-19
Isg15,9.959650993347168,6.353029251098633,8.174919892522379e-21,3.956262451400709e-18
Pfn1,9.642962455749512,1.1210806369781494,1.021812971248139e-20,4.8273364227394225e-18
Tmsb10,9.545889854431152,3.6055431365966797,1.6656394365535752e-19,7.031833553211924e-17
I830012O16Rik,9.4777193069458,8.404006958007812,3.9043252028520625e-19,1.5493924134998124e-16
Stmn1,9.477534294128418,4.147061824798584,2.305679895237032e-19,9.336591934957796e-17
Irf7,9.454353332519531,6.644471645355225,4.1532036087823606e-19,1.6158405099109725e-16
Fth1,9.413705825805664,0.9500997066497803,7.077805221182951e-20,3.191768436334366e-17
Ly6a,9.364848136901855,4.124626636505127,5.188116207293675e-19,1.9063444775022425e-16
Car2,9.231090545654297,6.730881690979004,2.476227117407661e-18,8.327677705695392e-16
Rps3a,9.198989868164062,1.3178101778030396,4.485836079527824e-19,1.6793954620753037e-16
Krt18,9.184250831604004,7.522243976593018,3.73574819519382e-18,1.2354119281505962e-15
Tgtp2,9.150235176086426,6.802507400512695,4.316642953762907e-18,1.4041119588289114e-15
Ifitm2,9.076140403747559,5.595530986785889,7.202220367096397e-18,2.237809685078188e-15
Zbp1,9.03930950164795,7.386964321136475,1.0137753585523537e-17,3.0022881588650454e-15
Oas1a,8.998592376708984,4.714244842529297,9.566939037000218e-18,2.8761697632145202e-15
Anxa2,8.97899341583252,4.80673885345459,1.2049000411675214e-17,3.5158274436538174e-15
Gnb2l1,8.913995742797852,1.5052714347839355,4.783597108006842e-18,1.5309053841463187e-15
Ifit2,8.89754581451416,6.4259114265441895,2.620272479841152e-17,7.22103424236224e-15
Ifi204,8.888422966003418,5.408740043640137,2.692339777944668e-17,7.318000804654534e-15
Rps18,8.861166000366211,1.3424577713012695,7.218013297298862e-18,2.237809685078188e-15
Gstm1,8.849312782287598,4.423017501831055,2.9624580241233606e-17,7.863144392229738e-15
Ifi27l2a,8.841983795166016,3.7280800342559814,2.3232389172267254e-17,6.492634731776434e-15
Rps20,8.797870635986328,1.4652169942855835,1.3800207782158154e-17,3.96845975092148e-15
Rpl3,8.752387046813965,1.2627261877059937,1.6240737794249798e-17,4.603553133050064e-15
Epcam,8.73421573638916,7.708140850067139,1.040897263936039e-16,2.5816854388773606e-14
Eef1a1,8.672688484191895,0.9113540649414062,2.972159204804104e-17,7.863144392229738e-15
Rps3,8.587878227233887,1.0935925245285034,5.848397808120766e-17,1.5268935435359504e-14
Fxyd5,8.532719612121582,4.197244644165039,2.956098298823786e-16,6.820337493635064e-14
Ifit1,8.527823448181152,7.130213737487793,4.1810028810812496e-16,9.535570019128063e-14
Krt8,8.5062837600708,6.760918617248535,5.194601251713212e-16,1.158104247601051e-13
Cd24a,8.495609283447266,7.473656177520752,5.759907329639968e-16,1.269867569274625e-13
Vim,8.42721176147461,5.376500606536865,8.128988158122584e-16,1.7159083301432799e-13
Gm4902,8.36430549621582,3.595125436782837,8.412555839065154e-16,1.7570729785129556e-13
Slfn2,8.347982406616211,2.698394775390625,6.402004997923533e-16,1.3807454692260732e-13
Rpl14,8.332688331604004,1.3242754936218262,4.626270459843365e-16,1.0431188461842279e-13
Anp32b,8.24336051940918,2.508498191833496,1.424220360599072e-15,2.8836102443884477e-13
Ccnd2,8.22137451171875,7.3625664710998535,4.0084704971853444e-15,7.874858574767486e-13
1810030J14Rik,8.137847900390625,6.394256114959717,6.9959503063235764e-15,1.3220347236006896e-12
Ccl12,8.085556983947754,2.9275083541870117,5.895578824228191e-15,1.1468634806895662e-12
Sp100,8.056384086608887,3.6977338790893555,7.300053098649892e-15,1.353716388630011e-12
Oit1,8.054855346679688,8.200528144836426,1.2762047135204838e-14,2.260933386220843e-12
Parp14,8.037755012512207,2.9998257160186768,7.289648501255601e-15,1.353716388630011e-12
Stat1,8.028170585632324,2.625365972518921,6.7244563429218314e-15,1.2854163391140068e-12
Adh1,8.016277313232422,6.607931613922119,1.611970518139676e-14,2.781279914863257e-12
H2-Ab1,8.011970520019531,3.623033046722412,1.2340948530402353e-14,2.206027934596788e-12
Rpl6,7.962286472320557,1.335754156112671,7.505262018634242e-15,1.3788834164235243e-12
Hmgn2,7.9569091796875,2.001953363418579,1.0330868283056877e-14,1.863500804294678e-12
Rsad2,7.942998886108398,7.306299209594727,2.5955622539935048e-14,4.401807371259754e-12
Rpl8,7.927760124206543,1.3154252767562866,9.285279346819182e-15,1.6902615853173046e-12
Crip1,7.904824256896973,5.092556953430176,3.255688913158245e-14,5.459926336832022e-12
Prdx1,7.866040229797363,1.4340227842330933,1.4417775679468816e-14,2.531659336566551e-12
Plac8,7.858951568603516,6.532441139221191,4.661172648855409e-14,7.519267292568213e-12
Tspan1,7.842518329620361,6.985010147094727,5.211789665876944e-14,8.339704076639541e-12
Agr2,7.783855438232422,6.7424492835998535,8.041367689932183e-14,1.227360136181803e-11
Slfn5,7.7770586013793945,5.254213333129883,7.085293176294727e-14,1.1030544131024304e-11
H2-Aa,7.765537261962891,5.982854843139648,9.024365675233733e-14,1.3565262403635435e-11
Pyhin1,7.7542572021484375,4.451389789581299,7.115762769736473e-14,1.1030544131024304e-11
Rpl4,7.749819278717041,1.0703295469284058,3.2745249172614185e-14,5.459926336832022e-12
H2-Q6,7.739616394042969,4.316383361816406,8.284150837976592e-14,1.2547642818865002e-11
Rps24,7.732097148895264,1.3536007404327393,4.3316263757629034e-14,7.0449287334334044e-12
Gm4951,7.708413124084473,4.10941743850708,9.482064824624654e-14,1.414610001881221e-11
Isg20,7.676216125488281,5.137105941772461,1.3394511580347167e-13,1.968695546498137e-11
Ccnb2,7.657689571380615,7.522027492523193,1.8282738793971763e-13,2.5694211485416985e-11
Krt19,7.638632297515869,7.3225016593933105,2.132971093088909e-13,2.959609260774135e-11
Xaf1,7.621765613555908,3.171816110610962,1.5264929708160833e-13,2.2108520822578632e-11
Cd74,7.614166736602783,3.091789722442627,1.8126051510343157e-13,2.5689793862016352e-11
Gm12250,7.607168674468994,3.752218723297119,1.7636643127249677e-13,2.517599085833727e-11
Hmgb2,7.591918468475342,2.86030650138855,1.8388156591720654e-13,2.5694211485416985e-11
Cldn3,7.5564446449279785,7.900275230407715,3.6853144343983183e-13,4.9408114194142854e-11
Tpt1,7.55128288269043,1.1796852350234985,1.5215653197411743e-13,2.2108520822578632e-11
Crlf2,7.535464763641357,2.1949424743652344,2.3533439876651e-13,3.1985531697500984e-11
Rpl18,7.533334255218506,1.1952694654464722,1.6167408302026477e-13,2.3245921415131116e-11
Trex1,7.497529029846191,1.7442610263824463,2.353536754276355e-13,3.1985531697500984e-11
Cldn7,7.496774673461914,7.472099304199219,5.450082410115053e-13,6.976808721387283e-11
Eif5a,7.487543106079102,1.2609965801239014,2.1901144567084994e-13,3.017795211806253e-11
Rbm3,7.473972797393799,1.9665846824645996,2.9572674932782627e-13,3.991707591947435e-11
Tsc22d1,7.472235202789307,4.002697467803955,4.572092318704683e-13,5.892649296252468e-11
Klk1,7.463528633117676,6.42642068862915,6.733331444626519e-13,8.402689466935809e-11
Rps4x,7.40086030960083,1.1344412565231323,3.9730203842117416e-13,5.220706653213866e-11
